2025-08-07 14:34:05,600 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-08-07 14:34:05,614 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-08-07 14:34:05,615 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-08-07 14:34:05,615 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-08-07 14:34:05,616 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-08-07 14:34:05,616 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-08-07 14:34:05,617 INFO  SwAddin.cs: 201 - Setting up command manager
2025-08-07 14:34:05,617 INFO  SwAddin.cs: 204 - Adding command manager
2025-08-07 14:34:05,619 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-08-07 14:34:05,627 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-08-07 14:34:05,627 INFO  SwAddin.cs: 210 - Adding event handlers
2025-08-07 14:34:05,630 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-08-07 14:44:07,928 INFO  SwAddin.cs: 294 - Assembly export called for file BabyCraneAssem
2025-08-07 14:44:07,936 INFO  SwAddin.cs: 305 - A rebuild is required
2025-08-07 14:44:07,937 INFO  SwAddin.cs: 313 - Saving assembly
2025-08-07 14:44:08,840 INFO  SwAddin.cs: 316 - Opening property manager
2025-08-07 14:44:08,846 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from BabyCraneAssem
2025-08-07 14:44:08,851 INFO  ExportHelperExtension.cs: 1136 - Found 36 in BabyCraneAssem
2025-08-07 14:44:08,852 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in BabyCraneAssem
2025-08-07 14:44:08,852 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-08-07 14:44:08,854 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2025-08-07 14:44:08,856 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from BabyCraneBladeCW-2
2025-08-07 14:44:08,856 INFO  ExportHelperExtension.cs: 1136 - Found 26 in BabyCraneBladeCW-2
2025-08-07 14:44:08,856 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in BabyCraneBladeCW-2
